published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,sentiment_score
2022-01-19,369.0,369.0,353.0,353.0,-4.34,72151.0,25928857.0,-1,0.13022
2022-01-20,347.0,368.0,347.0,368.0,4.25,59229.0,21338784.0,1,0.44454000000000005
2022-01-23,375.3,382.0,355.0,361.0,-1.9,90394.0,33314066.0,-1,0.24881999999999999
2022-01-24,368.2,368.2,340.0,343.8,-4.76,107850.0,37670215.0,-1,0.20179999999999998
2022-01-25,340.0,359.0,332.4,343.0,-0.23,46304.0,16039846.5,-1,0.17473
2022-01-26,337.3,342.0,326.0,331.0,-3.5,58047.0,19255444.4,-1,0.21071
2022-01-27,331.0,337.0,320.0,324.0,-2.11,32097.0,10471852.0,-1,0.10800000000000001
2022-01-30,330.4,350.0,330.4,345.9,6.76,53632.0,18304646.0,1,0.22391
2022-01-31,352.8,352.8,339.1,340.7,-1.5,26903.0,9256169.4,-1,0.32070000000000004
2022-02-01,344.0,357.6,334.0,356.0,4.49,73668.0,25863192.0,1,0.32547000000000004
2022-02-03,363.1,370.0,350.1,350.1,-1.66,95438.0,34372592.9,-1,0.15734
2022-02-06,351.0,358.0,337.2,340.0,-2.88,51382.0,17601326.9,-1,0.24084
2022-02-07,339.0,350.0,334.1,348.0,2.35,39185.0,13531377.2,1,0.21008
2022-02-08,354.9,369.1,340.0,344.0,-1.15,55854.0,19664285.3,-1,0.12412999999999999
2022-02-09,348.0,350.0,337.5,341.0,-0.87,26382.0,8982272.8,-1,0.19084
2022-02-10,347.8,347.8,334.5,338.0,-0.88,24822.0,8367883.0,-1,0.07115
2022-02-13,331.3,331.3,315.0,318.0,-5.92,62381.0,19965917.9,-1,0.30937
2022-02-14,318.0,329.0,315.0,320.0,0.63,30641.0,9777149.9,1,0.10640999999999998
2022-02-15,326.0,339.6,314.6,339.6,6.13,23732.0,7720656.5,1,0.25143
2022-02-16,345.0,346.0,325.0,327.0,-3.71,34459.0,11426307.0,-1,0.0010599999999999943
2022-02-17,321.2,328.0,320.7,324.0,-0.92,22444.0,7290389.3,-1,0.25277
2022-02-20,320.0,335.7,309.9,325.0,0.31,69570.0,22436998.3,1,0.03726
2022-02-21,331.0,334.0,325.0,330.0,1.54,19969.0,6593277.5,-1,0.22325999999999996
2022-02-22,336.6,352.0,332.0,347.0,5.15,92357.0,31879523.2,1,0.006779999999999992
2022-02-23,353.0,380.0,349.9,379.0,9.22,346585.0,128524294.9,1,0.13860999999999998
2022-02-24,382.0,397.8,362.5,367.0,-3.17,137710.0,51507924.7,-1,0.17872
2022-02-27,367.0,377.0,356.1,358.0,-2.45,74769.0,27224585.5,-1,0.12211000000000001
2022-02-28,358.0,372.3,334.0,335.0,-6.42,109853.0,38286845.3,-1,-0.02910999999999999
2022-03-02,330.0,340.0,318.0,323.0,-3.58,65608.0,21303232.6,-1,0.1635
2022-03-06,329.4,332.0,321.0,322.0,-0.31,27539.0,8951738.3,-1,0.11576
2022-03-07,318.0,334.0,315.0,317.0,-1.55,53534.0,17104482.6,-1,0.35171
2022-03-09,320.0,321.0,300.0,305.0,-3.79,52856.0,16182790.5,-1,0.010039999999999988
2022-03-10,300.0,323.8,299.0,314.0,2.95,41475.0,13004349.8,1,0.22258999999999998
2022-03-13,320.2,336.5,320.0,327.0,4.14,44628.0,14620198.8,1,0.26400999999999997
2022-03-14,333.5,333.5,320.0,320.3,-2.05,17679.0,5731049.2,-1,0.06669
2022-03-15,326.6,334.5,320.3,332.0,3.65,40745.0,13313290.3,1,0.26097000000000004
2022-03-16,328.0,336.9,322.0,322.0,-3.01,39012.0,12691807.7,-1,0.013480000000000002
2022-03-20,325.0,331.0,321.1,322.0,0.0,21158.0,6813656.1,-1,0.07799
2022-03-21,322.0,332.9,319.0,328.2,1.93,25908.0,8464860.6,1,0.34182
2022-03-22,321.7,341.0,321.7,332.0,1.16,37296.0,12516524.6,1,0.04798
2022-03-23,326.0,338.0,321.0,324.0,-2.41,22361.0,7274245.6,-1,0.11730999999999998
2022-03-24,324.0,332.5,315.2,323.0,-0.31,42701.0,13781934.7,-1,0.23658
2022-03-27,329.4,329.4,310.1,320.0,-0.93,47570.0,14985877.0,-1,0.17568999999999999
2022-03-28,313.6,321.9,307.0,307.0,-4.06,32174.0,10026420.0,-1,0.00544
